book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
94658793-a4d3-4541-b785-96fd93e39b4a,14148412-768b-4c4a-8ba5-029987581838,30,The Boy Who Lived,223,2013-11-24T00:00:00.000Z,createdBy.ax0@example.org,2016-03-13T00:00:00.000Z,modifiedBy.ax0@example.com
94658793-a4d3-4541-b785-96fd93e39b4a,14149876-235d-42d3-a9dd-f71627aa5e87,45,The Sorting Hat,223,2008-10-08T00:00:00.000Z,createdBy.ax1@example.net,2019-04-21T00:00:00.000Z,modifiedBy.ax1@example.net
9465880f-07c9-478f-b62f-a9919a8103bf,29569796-d6ea-48ea-97f7-5d9af57c52ad,26,Shoot at sight,296,2010-06-19T00:00:00.000Z,createdBy.hls78@example.net,2011-05-10T00:00:00.000Z,modifiedBy.hls78@example.org
9465880f-07c9-478f-b62f-a9919a8103bf,29569797-c34d-4bc1-b2ae-72ce5cee76d3,35,Arrow Kill,296,2012-12-24T00:00:00.000Z,createdBy.hls79@example.com,2008-08-23T00:00:00.000Z,modifiedBy.hls79@example.com
9465881d-11ee-4370-bf9b-5631c46a8d91,18918044-0a27-4aa2-8185-5d1c8b0a3ce6,35,The Principles of Newspeak,328,2004-06-15T00:00:00.000Z,createdBy.b9h98@example.net,2021-04-02T00:00:00.000Z,modifiedBy.b9h98@example.net
9465881d-11ee-4370-bf9b-5631c46a8d91,18918045-67aa-437e-a8b9-7ff15a3fa9c8,38,Two Minutes Hate,328,2015-04-12T00:00:00.000Z,createdBy.b9h99@example.net,2014-06-28T00:00:00.000Z,modifiedBy.b9h99@example.org
9465882d-fec0-4f41-a1f5-bf63910a0364,27990855-c623-4499-b1bf-166bcd409c88,36,Once upon a time,432,2001-07-04T00:00:00.000Z,createdBy.gnxvr@example.net,2006-06-07T00:00:00.000Z,modifiedBy.gnxvr@example.net
9465882d-fec0-4f41-a1f5-bf63910a0364,27990856-9f12-443b-b34a-90a396b8c3fa,96,Long long ago,432,2017-07-15T00:00:00.000Z,createdBy.gnxvs@example.com,2003-12-17T00:00:00.000Z,modifiedBy.gnxvs@example.com
94658833-bea7-42cf-9edf-40931cac813a,15201675-8562-4719-a261-d02a1e72ba18,56,Great Gatsby Boy,218,2010-10-05T00:00:00.000Z,createdBy.91tor@example.net,2003-03-21T00:00:00.000Z,modifiedBy.91tor@example.net
94658833-bea7-42cf-9edf-40931cac813a,15201676-0505-47c7-9b83-b7d21423b4ea,34,Cheap Gatsby Boy,218,2012-04-07T00:00:00.000Z,createdBy.91tos@example.org,2020-07-26T00:00:00.000Z,modifiedBy.91tos@example.org
